dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
skew,SdWithRedundancy,0.010,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate5.00pc.log,767127713558,6,1005,5,80
skew,SdWithRedundancy,0.007,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate10.0pc.log,767131459658,6,1005,10,80
skew,SdWithRedundancy,0.005,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate20.0pc.log,767129133017,6,1005,20,80
skew,SdWithRedundancy,0.002,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate50.0pc.log,767128687869,6,1005,50,80
skew,SdWoRedundancy,5.757,146463546,SdWoRedundancy_06-samplingRate1.00pc.log,146914080,6,1005,1,-1
skew,SdWoRedundancy,3.819,146463546,SdWoRedundancy_06-samplingRate2.00pc.log,146331032,6,1005,2,-1
skew,SdWoRedundancy,2.537,146463546,SdWoRedundancy_06-samplingRate5.00pc.log,146439644,6,1005,5,-1
skew,SdWoRedundancy,1.669,146463546,SdWoRedundancy_06-samplingRate10.0pc.log,146440074,6,1005,10,-1
skew,SdWoRedundancy,1.152,146463546,SdWoRedundancy_06-samplingRate20.0pc.log,146541574,6,1005,20,-1
skew,SdWoRedundancy,0.569,146463546,SdWoRedundancy_06-samplingRate50.0pc.log,146414206,6,1005,50,-1
skew,SdWoRedundancy,0.578,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate1.00pc.log,34160150600,6,1005,1,1
skew,SdWoRedundancy,0.416,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate2.00pc.log,34169014821,6,1005,2,1
skew,SdWoRedundancy,0.251,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate5.00pc.log,34169839282,6,1005,5,1
skew,SdWoRedundancy,0.180,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate10.0pc.log,34165911669,6,1005,10,1
skew,SdWoRedundancy,0.113,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate20.0pc.log,34165976114,6,1005,20,1
skew,SdWoRedundancy,0.057,34167596668,SdWoRedundancy_Selectivity01_06-samplingRate50.0pc.log,34166666230,6,1005,50,1
skew,SdWoRedundancy,0.231,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate1.00pc.log,282555715519,6,1005,1,20
skew,SdWoRedundancy,0.165,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate2.00pc.log,282549032636,6,1005,2,20
skew,SdWoRedundancy,0.102,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate5.00pc.log,282549153990,6,1005,5,20
skew,SdWoRedundancy,0.072,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate10.0pc.log,282545639007,6,1005,10,20
skew,SdWoRedundancy,0.048,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate20.0pc.log,282530373750,6,1005,20,20
skew,SdWoRedundancy,0.023,282536535829,SdWoRedundancy_Selectivity20_06-samplingRate50.0pc.log,282541028189,6,1005,50,20
skew,SdWoRedundancy,18.338,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate1.00pc.log,773374361383,6,1005,1,80
skew,SdWoRedundancy,14.592,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate2.00pc.log,749971598930,6,1005,2,80
skew,SdWoRedundancy,15.124,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate5.00pc.log,770132114830,6,1005,5,80
skew,SdWoRedundancy,12.409,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate10.0pc.log,764171670187,6,1005,10,80
skew,SdWoRedundancy,10.163,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate20.0pc.log,765280811650,6,1005,20,80
skew,SdWoRedundancy,6.255,767126984979,SdWoRedundancy_Selectivity80_06-samplingRate50.0pc.log,764137827836,6,1005,50,80
skew,WD,153.817,146463546,WD_06-samplingRate1.00pc.log,141199028,6,1005,1,-1
skew,WD,140.531,146463546,WD_06-samplingRate2.00pc.log,136768373,6,1005,2,-1
skew,WD,127.537,146463546,WD_06-samplingRate5.00pc.log,156090798,6,1005,5,-1
skew,WD,99.470,146463546,WD_06-samplingRate10.0pc.log,151742232,6,1005,10,-1
skew,WD,66.857,146463546,WD_06-samplingRate20.0pc.log,140933665,6,1005,20,-1
