dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
uniform,SdWoRedundancy,0.503,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate1.00pc.log,22782918134,6,1005,1,2
uniform,SdWoRedundancy,0.335,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate2.00pc.log,22776008358,6,1005,2,2
uniform,SdWoRedundancy,0.206,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate5.00pc.log,22778220771,6,1005,5,2
uniform,SdWoRedundancy,0.148,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate10.0pc.log,22776784751,6,1005,10,2
uniform,SdWoRedundancy,0.104,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate20.0pc.log,22777112298,6,1005,20,2
uniform,SdWoRedundancy,0.049,22779043496,SdWoRedundancy_Selectivity02_06-samplingRate50.0pc.log,22779237666,6,1005,50,2
uniform,SdWoRedundancy,0.363,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate1.00pc.log,57205177647,6,1005,1,5
uniform,SdWoRedundancy,0.264,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate2.00pc.log,57202737013,6,1005,2,5
uniform,SdWoRedundancy,0.163,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate5.00pc.log,57221425795,6,1005,5,5
uniform,SdWoRedundancy,0.109,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate10.0pc.log,57216009157,6,1005,10,5
uniform,SdWoRedundancy,0.073,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate20.0pc.log,57216917963,6,1005,20,5
uniform,SdWoRedundancy,0.037,57217693829,SdWoRedundancy_Selectivity05_06-samplingRate50.0pc.log,57216640558,6,1005,50,5
uniform,SdWoRedundancy,0.284,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate1.00pc.log,114891562943,6,1005,1,10
uniform,SdWoRedundancy,0.210,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate2.00pc.log,114890647504,6,1005,2,10
uniform,SdWoRedundancy,0.130,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate5.00pc.log,114885459617,6,1005,5,10
uniform,SdWoRedundancy,0.086,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate10.0pc.log,114899454665,6,1005,10,10
uniform,SdWoRedundancy,0.060,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate20.0pc.log,114890873997,6,1005,20,10
uniform,SdWoRedundancy,0.030,114894337070,SdWoRedundancy_Selectivity10_06-samplingRate50.0pc.log,114895108476,6,1005,50,10
uniform,SdWoRedundancy,0.243,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate1.00pc.log,230347511708,6,1005,1,20
uniform,SdWoRedundancy,0.159,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate2.00pc.log,230327758621,6,1005,2,20
uniform,SdWoRedundancy,0.103,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate5.00pc.log,230319869781,6,1005,5,20
uniform,SdWoRedundancy,0.072,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate10.0pc.log,230329794563,6,1005,10,20
uniform,SdWoRedundancy,0.047,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate20.0pc.log,230312881833,6,1005,20,20
uniform,SdWoRedundancy,0.023,230321539071,SdWoRedundancy_Selectivity20_06-samplingRate50.0pc.log,230321928459,6,1005,50,20
uniform,SdWoRedundancy,0.196,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate1.00pc.log,573961766816,6,1005,1,50
uniform,SdWoRedundancy,0.145,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate2.00pc.log,573942745879,6,1005,2,50
uniform,SdWoRedundancy,0.087,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate5.00pc.log,574001019658,6,1005,5,50
uniform,SdWoRedundancy,0.061,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate10.0pc.log,573995151314,6,1005,10,50
uniform,SdWoRedundancy,0.041,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate20.0pc.log,573984657292,6,1005,20,50
uniform,SdWoRedundancy,0.020,573991452330,SdWoRedundancy_Selectivity50_06-samplingRate50.0pc.log,573991319741,6,1005,50,50
uniform,WD,0.266,12330426888,WD_06-samplingRate1.00pc.log,12331270634,6,1005,1,-1
uniform,WD,0.191,12330426888,WD_06-samplingRate2.00pc.log,12330329766,6,1005,2,-1
uniform,WD,0.119,12330426888,WD_06-samplingRate5.00pc.log,12330540873,6,1005,5,-1
